# Wordstat regions of Russia: id|name|parent_id. Taken from the wordstat.yandex.ru region picker on 2026-09-10.
# The id is the region= value in a Wordstat URL. kw.py record re-checks the name against the live page.
225|Россия|
3|Центр|225
17|Северо-Запад|225
26|Юг|225
40|Поволжье|225
52|Урал|225
59|Сибирь|225
73|Дальний Восток|225
102444|Северный Кавказ|225
977|Республика Крым|225
1|Москва и область|3
2|Санкт-Петербург|10174
4|Белгород|10645
5|Иваново|10687
6|Калуга|10693
7|Кострома|10699
8|Курск|10705
9|Липецк|10712
10|Орёл|10772
11|Рязань|10776
12|Смоленск|10795
13|Тамбов|10802
14|Тверь|10819
15|Тула|10832
16|Ярославль|10841
18|Петрозаводск|10933
19|Сыктывкар|10939
20|Архангельск|10842
21|Вологда|10853
22|Калининград|10857
23|Мурманск|10897
24|Великий Новгород|10904
25|Псков|10926
28|Махачкала|11010
30|Нальчик|11013
33|Владикавказ|11021
35|Краснодар|10995
36|Ставрополь|11069
37|Астрахань|10946
38|Волгоград|10950
39|Ростов-на-Дону|11029
41|Йошкар-Ола|11077
42|Саранск|11117
43|Казань|11119
44|Ижевск|11148
45|Чебоксары|11156
46|Киров|11070
47|Нижний Новгород|11079
48|Оренбург|11084
49|Пенза|11095
50|Пермь|11108
51|Самара|11131
53|Курган|11158
54|Екатеринбург|11162
55|Тюмень|11176
56|Челябинск|11225
57|Ханты-Мансийск|11193
58|Салехард|11232
62|Красноярск|11309
63|Иркутск|11266
64|Кемерово|11282
65|Новосибирск|11316
66|Омск|11318
67|Томск|11353
68|Чита|21949
74|Якутск|11443
75|Владивосток|11409
76|Хабаровск|11457
77|Благовещенск|11375
78|Петропавловск-Камчатский|11398
79|Магадан|11403
80|Южно-Сахалинск|11450
146|Симферополь|977
172|Уфа|11111
191|Брянск|10650
192|Владимир|10658
193|Воронеж|10672
194|Саратов|11146
195|Ульяновск|11153
197|Барнаул|11235
198|Улан-Удэ|11330
213|Москва|1
214|Долгопрудный|1
215|Дубна|1
216|Зеленоград|213
217|Пущино|1
219|Черноголовка|1
235|Магнитогорск|11225
236|Набережные Челны|11119
237|Новокузнецк|11282
238|Новочеркасск|11029
239|Сочи|10995
240|Тольятти|11131
959|Севастополь|977
967|Обнинск|10693
968|Череповец|10853
969|Выборг|98622
970|Новороссийск|10995
971|Таганрог|11029
972|Дзержинск (Нижегородская область)|11079
973|Сургут|11193
974|Находка|11409
975|Бийск|11235
976|Братск|11266
1058|Туапсе|99299
1091|Нижневартовск|11193
1092|Назрань|11012
1093|Майкоп|11004
1094|Элиста|11015
1095|Абакан|11340
1104|Черкесск|11020
1106|Грозный|11024
1107|Анапа|10995
10174|Санкт-Петербург и Ленинградская область|17
10231|Республика Алтай|59
10233|Республика Тыва|59
10243|Еврейская автономная область|73
10645|Белгородская область|3
10646|Губкин|10645
10649|Старый Оскол|10645
10650|Брянская область|3
10653|Клинцы|10650
10656|Александров|98745
10658|Владимирская область|3
10661|Гусь-Хрустальный|10658
10663|Киржач|98750
10664|Ковров|10658
10668|Муром|10658
10672|Воронежская область|3
10681|Россошь|98787
10687|Ивановская область|3
10689|Кинешма|10687
10691|Шуя|10687
